feature_set,model,mean_rmse,mean_mae,mean_r2,rmse_24h,mae_24h,r2_24h,rmse_48h,mae_48h,r2_48h,rmse_72h,mae_72h,r2_72h
FS130,Neural Network,6.95816372069601,5.451681611246425,0.3896842048969012,4.897962045515569,3.810309630280295,0.6937028414438213,7.359848495941734,5.8007579822956705,0.33978752414750646,8.616680620630728,6.743977221163309,0.13556224909937575
FS70,Ridge Regression,7.255454150492255,5.557028894177955,0.3405974566981189,5.303389726886814,4.087767379213396,0.6408968430277372,7.574993223308996,5.860154045846944,0.30062440179443384,8.887979501280956,6.723165257473526,0.08027112527218572
FS110,Ridge Regression,7.316914708203602,5.6253957970857975,0.326851892287617,5.236205983709029,3.996882921403707,0.6499375061424436,7.6726638307315,5.9592105390047,0.28247288248198243,9.041874310170279,6.920093930848985,0.04814528823842501
FS90,Ridge Regression,7.350127050694429,5.674993540945901,0.32255944435355594,5.345704391032169,4.113361907618081,0.6351435605112125,7.6659013073849485,5.97357696475709,0.2837371514859387,9.038775453666169,6.9380417504625305,0.048797621063516705
FS50,Ridge Regression,7.356707328241458,5.729455733469336,0.32360517699124336,5.4426694258067965,4.242158833119582,0.6217873492157182,7.6803163672686,6.061985407549306,0.281040878981345,8.947136191648976,6.884222959739119,0.06798730277666687
FS130,Ridge Regression,7.375402765538429,5.681634536958121,0.31563230132917347,5.2613151021652715,4.048739610031699,0.6465721552101495,7.736457412813469,5.996983863389837,0.27049166809448955,9.128435781636547,6.999180137452827,0.029833080682881263
FS50,Neural Network,7.545100728335769,5.8780796289051445,0.28367266626614496,5.323282735324654,4.106552050050185,0.6381977994360852,8.131563727132574,6.173770527496913,0.19407594645588944,9.180455722550079,7.353916309168336,0.0187442529064602
FS90,Neural Network,7.6712994596115465,6.0015608054753145,0.2589098451218033,5.417133116681308,4.213075090036841,0.6253280741788283,8.149752318773283,6.26351309057369,0.19046655025139736,9.447012943380047,7.528094235815413,-0.03906508906481565
FS90,Persistence Baseline,9.14730221198498,6.874161461947722,-0.06298148172897082,6.286475795864617,4.748091603053435,0.4954239499650255,9.434348924290443,7.1235253296322,-0.08485038326098993,11.721081915799882,8.750867453157529,-0.599518011890948
FS50,Persistence Baseline,9.14730221198498,6.874161461947722,-0.06298148172897082,6.286475795864617,4.748091603053435,0.4954239499650255,9.434348924290443,7.1235253296322,-0.08485038326098993,11.721081915799882,8.750867453157529,-0.599518011890948
FS130,Persistence Baseline,9.14730221198498,6.874161461947722,-0.06298148172897082,6.286475795864617,4.748091603053435,0.4954239499650255,9.434348924290443,7.1235253296322,-0.08485038326098993,11.721081915799882,8.750867453157529,-0.599518011890948
FS110,Persistence Baseline,9.14730221198498,6.874161461947722,-0.06298148172897082,6.286475795864617,4.748091603053435,0.4954239499650255,9.434348924290443,7.1235253296322,-0.08485038326098993,11.721081915799882,8.750867453157529,-0.599518011890948
FS70,Persistence Baseline,9.14730221198498,6.874161461947722,-0.06298148172897082,6.286475795864617,4.748091603053435,0.4954239499650255,9.434348924290443,7.1235253296322,-0.08485038326098993,11.721081915799882,8.750867453157529,-0.599518011890948
