iter	RMSE
0	24.15118883
1	23.92720108
2	23.69019531
3	23.47071157
4	23.27369429
5	23.07249833
6	22.88563651
7	22.71066652
8	22.5309117
9	22.35487054
10	22.1996883
11	22.04041044
12	21.8911314
13	21.73816907
14	21.59967362
15	21.45823477
16	21.33323669
17	21.20291637
18	21.08740652
19	20.95982194
20	20.84626507
21	20.73697201
22	20.63453605
23	20.53156132
24	20.42701033
25	20.32672606
26	20.23588729
27	20.13715858
28	20.04253774
29	19.94903102
30	19.84755307
31	19.76481385
32	19.69343546
33	19.61206442
34	19.53553935
35	19.46763171
36	19.39489753
37	19.31594732
38	19.24888157
39	19.18809484
40	19.13071747
41	19.05078299
42	18.98533036
43	18.92541345
44	18.8697351
45	18.80365871
46	18.74473622
47	18.68696629
48	18.63107732
49	18.57884791
50	18.52217686
51	18.46700498
52	18.4156208
53	18.36491409
54	18.32139501
55	18.27307309
56	18.2224677
57	18.17394456
58	18.11738425
59	18.06256223
60	18.01217784
61	17.97523505
62	17.93113472
63	17.8918895
64	17.85243595
65	17.8108073
66	17.75686476
67	17.71834315
68	17.67973693
69	17.64352255
70	17.58981691
71	17.54819951
72	17.50880499
73	17.475855
74	17.43888597
75	17.4021375
76	17.35870103
77	17.3273294
78	17.29659819
79	17.25424232
80	17.22768603
81	17.18808918
82	17.15484959
83	17.12724405
84	17.08291837
85	17.05668605
86	17.03078794
87	16.99666944
88	16.96359198
89	16.93441031
90	16.89729067
91	16.86605856
92	16.81921693
93	16.78280475
94	16.75468567
95	16.72685635
96	16.69793943
97	16.6701959
98	16.63911259
99	16.61117913
100	16.59196093
101	16.56476744
102	16.53086578
103	16.51023842
104	16.48871589
105	16.46360719
106	16.42102344
107	16.37752354
108	16.3346955
109	16.31282638
110	16.28314894
111	16.26055062
112	16.23914309
113	16.20168798
114	16.17292408
115	16.13606912
116	16.11429297
117	16.09715065
118	16.07384072
119	16.04421751
120	16.02465691
121	16.0070444
122	15.97289977
123	15.95657515
124	15.93594532
125	15.90656378
126	15.88595198
127	15.86496388
128	15.84096642
129	15.8217301
130	15.7961666
131	15.7756368
132	15.74019643
133	15.71707994
134	15.68514348
135	15.66712651
136	15.63137368
137	15.60405211
138	15.58790417
139	15.55879211
140	15.54369123
141	15.52752111
142	15.494149
143	15.47273635
144	15.45077156
145	15.42585961
146	15.41116491
147	15.39349725
148	15.37062617
149	15.32866111
150	15.31526767
151	15.29886095
152	15.28338513
153	15.27058213
154	15.24945811
155	15.23430155
156	15.22140098
157	15.20501398
158	15.17896499
159	15.16202207
160	15.13938393
161	15.12546788
162	15.10954448
163	15.08985917
164	15.06255788
165	15.03866935
166	15.02327011
167	15.00605073
168	14.979353
169	14.96035772
170	14.94232173
171	14.93013906
172	14.91197157
173	14.87841862
174	14.86826666
175	14.84928185
176	14.83864985
177	14.82108236
178	14.79428288
179	14.77876318
180	14.75844104
181	14.73625276
182	14.70840011
183	14.69655818
184	14.68400793
185	14.67352092
186	14.65692593
187	14.64547917
188	14.6326845
189	14.6003333
190	14.58356731
191	14.5627227
192	14.542221
193	14.51656547
194	14.48698181
195	14.47294274
196	14.45452871
197	14.44591093
198	14.43427146
